"table_name"
"country_region"
"dim_customer"
"dim_date"
"dim_product"
"dim_store"
"forquerying2"
"forview"
"my_store_overviews"
"my_store_overviews_2"
"my_store_overviewsnew"
"new_store_overview"
"orders"
"test"
"test_store_overviews"
"test_store_overviews_2"
